📡所有频道,#genre#
CCTV13,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024079003.m3u8
CCTV13,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024123103.m3u8
CCTV14,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024079103.m3u8
CCTV15,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024079203.m3u8
CCTV16,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024079303.m3u8
CCTV16,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024083703.m3u8
CCTV17,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024079503.m3u8
CCTV4K,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024081303.m3u8
CCTV5+,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024078003.m3u8
CCTV第一剧场,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171803.m3u8
CCTV电视指南,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024172503.m3u8
CCTV风云剧场,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171703.m3u8
CCTV风云音乐,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024163303.m3u8
CCTV风云足球,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2012514203.m3u8
CCTV高尔夫网球,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024166203.m3u8
CCTV怀旧剧场,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171903.m3u8
CCTV女性时尚,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024172203.m3u8
CCTV世界地理,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024172003.m3u8
CCTV卫生健康,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024165203.m3u8
CCTV文化精品,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024172303.m3u8
📡卫视频道,#genre#
安徽卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171403.m3u8
北京卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024052703.m3u8
东方卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024054503.m3u8
东南卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024061503.m3u8
广东卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024060903.m3u8
广西卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024060703.m3u8
海南卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024055603.m3u8
河北卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171503.m3u8
河南卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024059703.m3u8
黑龙江卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024061003.m3u8
湖北卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171203.m3u8
湖南卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024054803.m3u8
江苏卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171103.m3u8
江西卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024061703.m3u8
辽宁卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171303.m3u8
山东卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171603.m3u8
深圳卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024061303.m3u8
四川卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024061403.m3u8
天津卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2019927003.m3u8
浙江卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024054703.m3u8
重庆卫视,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024061103.m3u8
